ticker,company_name,market_cap,size_band,sub_type,scale_category,market_code,source,is_reinclude_43list,is_judgment_add,manual_name_resolved
9432,"NTT,Inc.",12581516246400.0,large,telecom,TOPIX Core30,プライム,Tempest+Phase1_TSE33,True,False,False
9434,SoftBank Corp.,10505469805960.0,large,telecom,TOPIX Core30,プライム,Tempest+Phase1_TSE33,True,False,False
9984,SoftBank Group Corp.,7797522493920.0,large,telecom,TOPIX Core30,プライム,Tempest,False,False,False
6178,"Japan Post Holdings Co., Ltd.",5695420235776,large,other,L,,Phase1_TSE33,False,False,False
9433,KDDI CORPORATION,5068552220368.0,large,telecom,TOPIX Core30,プライム,Tempest+Phase1_TSE33,True,False,False
4689,LY Corporation,3002355699045.9,large,internet_platform,TOPIX Large70,プライム,Tempest,False,False,False
4307,"Nomura Research Institute,Ltd.",2425635576213.0,large,SI_IT_services,TOPIX Large70,プライム,Tempest,False,False,False
3659,"NEXON Co.,Ltd.",2059181483884.0,large,content_games,TOPIX Mid400,プライム,Tempest,False,False,False
4684,"OBIC Co.,Ltd.",1807524035100.0,large,SI_IT_services,TOPIX Mid400,プライム,Tempest+Phase1_TSE33,False,False,False
9719,SCSK Corporation,1775118535920.0,large,SI_IT_services,TOPIX Mid400,プライム,Tempest+Phase1_TSE33,False,False,False
4755,"Rakuten Group,Inc.",1649174388000.0,large,internet_platform,TOPIX Mid400,プライム,Phase1_TSE33,False,False,False
9697,"CAPCOM CO.,LTD.",1428269741046.0,large,content_games,TOPIX Mid400,プライム,Tempest,True,False,False
4716,ORACLE CORPORATION JAPAN,1093806260946.0,large,SI_IT_services,TOPIX Mid400,スタンダード,Tempest,False,False,False
4768,OTSUKA CORPORATION,1082240338960.0,large,SI_IT_services,TOPIX Mid400,プライム,Tempest,False,False,False
9412,SKY Perfect JSAT Corporation,996004297960.0,mid,telecom,TOPIX Small 1,プライム,Tempest,False,False,False
9401,"TBS HOLDINGS,INC.",911916863050.0,mid,broadcaster,TOPIX Mid400,プライム,Tempest,False,False,False
4676,"FUJI MEDIA HOLDINGS,INC.",822770352000.0,mid,broadcaster,TOPIX Mid400,プライム,Tempest,False,False,False
3626,TIS Inc.,795416002689.0,mid,SI_IT_services,TOPIX Mid400,プライム,Tempest,False,False,False
9404,"Nippon Television Holdings,Inc.",749214811480.0,mid,broadcaster,TOPIX Mid400,プライム,Tempest,False,False,False
4704,Trend Micro Incorporated,693128332416.0,mid,SaaS,TOPIX Mid400,プライム,Tempest,False,False,False
2371,"Kakaku.com,Inc.",660773142528,mid,internet_platform,TOPIX Mid400,プライム,JudgmentAdd_Service,False,True,False
4385,"Mercari,Inc.",634333789020.0,mid,internet_platform,TOPIX Mid400,プライム,Tempest,False,False,False
4751,"CyberAgent,Inc.",630179064750.0,mid,internet_platform,TOPIX Mid400,プライム,Phase1_TSE33,False,False,False
9468,KADOKAWA CORPORATION,534131837928.0,mid,content_games,TOPIX Mid400,プライム,Tempest+Phase1_TSE33,False,False,False
3635,"KOEI TECMO HOLDINGS CO.,LTD.",479146458508.0,mid,content_games,TOPIX Mid400,プライム,Tempest+Phase1_TSE33,False,False,False
4733,"OBIC BUSINESS CONSULTANTS CO.,LTD.",457219215600.0,mid,SI_IT_services,TOPIX Mid400,プライム,Tempest,False,False,False
9605,"TOEI COMPANY,LTD.",371180995200.0,mid,content_games,TOPIX Small 1,プライム,Tempest,False,False,False
9409,TV Asahi Holdings Corporation,345329908000.0,mid,broadcaster,TOPIX Small 1,プライム,Tempest,False,False,False
4194,"Visional,Inc.",297881355900.0,mid,SaaS,TOPIX Mid400,プライム,Tempest+Phase1_TSE33,False,False,False
9684,"SQUARE ENIX HOLDINGS CO.,LTD.",293765079416.0,mid,content_games,TOPIX Mid400,プライム,Tempest+Phase1_TSE33,False,False,False
